Designator,Mid X,Mid Y,Layer,Rotation
R13,59.050002mm,44.894367mm,Bottom,180.0
R15,42.500002mm,17.094367mm,Bottom,180.0
R16,42.500002mm,19.644367mm,Bottom,180.0
R17,69.950002mm,43.106867mm,Bottom,180.0
R18,76.950002mm,43.106867mm,Bottom,180.0
R19,83.950002mm,43.106867mm,Bottom,180.0
R20,69.950002mm,38.494367mm,Bottom,270.0
R21,76.950002mm,38.494367mm,Bottom,270.0
R22,83.950002mm,38.494367mm,Bottom,270.0
R23,90.950002mm,43.106867mm,Bottom,180.0
R24,97.950002mm,43.106867mm,Bottom,180.0
R25,104.950002mm,43.106867mm,Bottom,180.0
R26,90.950002mm,38.494367mm,Bottom,270.0
R27,97.950002mm,38.494367mm,Bottom,270.0
R28,104.950002mm,38.494367mm,Bottom,270.0
R29,90.550002mm,18.844367mm,Bottom,180.0
R30,106.200002mm,50.794367mm,Bottom,180.0
R31,90.550002mm,17.144367mm,Bottom,180.0
R32,103.950002mm,48.444367mm,Bottom,0.0
R33,104.350002mm,46.594367mm,Bottom,0.0
R34,90.550002mm,20.494367mm,Bottom,180.0
U4,60.550002mm,70.094367mm,Bottom,270.0
U6,48.075002mm,19.029367mm,Bottom,270.0
U8,56.755002mm,39.919367mm,Bottom,180.0
U9,64.150002mm,17.744367mm,Bottom,270.0
U10,72.900002mm,17.744367mm,Bottom,270.0
U11,81.450002mm,17.744367mm,Bottom,270.0
C11,115.050002mm,16.194367mm,Top,0.0
C12,118.150002mm,16.194367mm,Top,180.0
C13,117.390002mm,31.319367mm,Top,0.0
C24,123.350002mm,22.194367mm,Top,0.0
C25,126.850002mm,22.194367mm,Top,180.0
C26,126.850002mm,38.194367mm,Top,0.0
D3,55.850002mm,33.594367mm,Top,180.0
D5,63.350002mm,33.594367mm,Top,180.0
F1,115.350002mm,37.394367mm,Top,0.0
F2,109.750002mm,35.594367mm,Top,90.0
F3,115.350002mm,35.194367mm,Top,0.0
F4,115.350002mm,32.994367mm,Top,0.0
J6,94.450002mm,112.744367mm,Top,0.0
J7,142.5mm,88.5mm,Top,180.0
J8,127.650002mm,72.969367mm,Top,180.0
J9,128.350002mm,64.594367mm,Top,90.0
P3,129.850002mm,77.094367mm,Top,90.0
P4,124.850002mm,77.094367mm,Top,90.0
P5,86.350002mm,56.194367mm,Top,90.0
P6,86.350002mm,53.654367mm,Top,90.0
P7,108.350002mm,97.794367mm,Top,90.0
P8,113.050002mm,97.794367mm,Top,90.0
P9,13.0mm,64.85mm,Top,270.0
Q7,69.850002mm,37.254367mm,Top,90.0
Q8,76.850002mm,37.254367mm,Top,90.0
Q9,83.850002mm,37.254367mm,Top,90.0
Q10,90.850002mm,37.254367mm,Top,90.0
Q11,97.850002mm,37.254367mm,Top,90.0
Q12,104.850002mm,37.254367mm,Top,90.0
R1,52.425002mm,49.526864mm,Top,270.0
R4,127.780393mm,58.068976mm,Top,0.0
R9,114.390002mm,31.319367mm,Top,0.0
R10,59.900002mm,43.194367mm,Top,270.0
R11,54.000002mm,44.794367mm,Top,0.0
R14,123.950002mm,38.194367mm,Top,0.0
R35,41.850002mm,109.344367mm,Top,90.0
R36,44.350002mm,109.344367mm,Top,90.0
R37,46.850002mm,109.344367mm,Top,90.0
R38,41.850002mm,112.794367mm,Top,90.0
R39,44.350002mm,112.794367mm,Top,90.0
R40,46.850002mm,112.794367mm,Top,90.0
U1,114.850002mm,23.594367mm,Top,90.0
U2,124.310002mm,30.219367mm,Top,90.0
U3,128.27mm,127.6mm,Top,90.0
U5,111.225002mm,107.244367mm,Top,270.0
U7,55.485002mm,39.919367mm,Top,180.0
D415,112.42500299999999mm,53.919366mm,Bottom,0.0
R428,125.87050299999999mm,54.903766000000005mm,Bottom,180.0
R427,127.22500299999999mm,41.769366mm,Bottom,90.0
R426,126.86510299999999mm,53.295166mm,Top,0.0
R425,119.75000299999999mm,51.987066mm,Top,180.0
R424,117.45290299999999mm,51.987066mm,Top,0.0
LED4,128.113903mm,40.227466mm,Top,0.0
LED3,124.715803mm,53.295166mm,Top,180.0
LED2,119.72500299999999mm,53.068466mm,Top,180.0
LED1,117.477903mm,53.068466mm,Top,0.0
R422,128.225003mm,46.077766mm,Bottom,270.0
C426,122.825003mm,52.309366mm,Top,90.0
C425,122.825003mm,49.619366mm,Top,270.0
F410,114.55820299999999mm,46.776366mm,Top,90.0
C415,128.525003mm,51.942766mm,Bottom,90.0
C414,119.015003mm,50.967766mm,Bottom,270.0
U411,123.87500299999999mm,49.541566mm,Bottom,180.0
D410,114.85820299999999mm,42.419366000000004mm,Bottom,270.0
R411,111.958203mm,42.517766mm,Bottom,0.0
D417,111.72500299999999mm,45.167766mm,Bottom,270.0
C410,113.66500299999998mm,50.412366mm,Bottom,270.0
D412,111.10820299999999mm,46.069366mm,Top,270.0
R410,111.075003mm,43.292766mm,Top,90.0
D413,112.73320299999999mm,46.069366mm,Top,270.0
C411,113.525003mm,45.142766mm,Bottom,90.0
R413,115.05820299999999mm,45.142766mm,Bottom,90.0
D414,113.525003mm,42.619366mm,Bottom,90.0
D418,118.72500299999999mm,46.349366mm,Top,90.0
D416,114.63130299999999mm,51.220966000000004mm,Top,270.0
U410,112.025003mm,50.817766mm,Top,270.0
C412,111.62500299999999mm,50.412366mm,Bottom,270.0
C413,112.46210299999998mm,48.442766mm,Top,180.0
D411,113.533503mm,42.767766mm,Top,90.0
U420,122.633203mm,43.682766mm,Bottom,270.0
R420,114.208103mm,47.792766mm,Bottom,180.0
C429,127.22500299999999mm,45.977766mm,Bottom,90.0
C427,114.02310299999999mm,46.699066mm,Bottom,0.0
C428,127.22500299999999mm,43.788666mm,Bottom,270.0
C423,117.133203mm,44.615966mm,Bottom,180.0
C421,117.133203mm,45.807566mm,Bottom,180.0
C422,117.133203mm,46.999066mm,Bottom,180.0
C424,117.133203mm,43.419366000000004mm,Bottom,0.0
R421,118.89500299999999mm,47.174066mm,Bottom,90.0
R423,128.225003mm,43.888666mm,Bottom,270.0
D420,129.225003mm,45.419366000000004mm,Top,90.0
C420,116.72500299999999mm,42.369366mm,Bottom,0.0
L420,116.825003mm,50.319366mm,Bottom,270.0
D421,127.18580299999999mm,50.669366mm,Top,0.0
L421,124.62500299999999mm,44.919366000000004mm,Top,90.0
C474,55.478602mm,93.184366mm,Bottom,270.0
R470,51.825002000000005mm,92.269366mm,Bottom,180.0
U471,56.860002mm,93.21636600000001mm,Top,180.0
R474,57.725002mm,93.183966mm,Bottom,180.0
R473,56.465402000000005mm,92.71936600000001mm,Bottom,270.0
R472,53.950002000000005mm,92.269366mm,Bottom,180.0
C473,57.825002000000005mm,94.169366mm,Bottom,180.0
C472,57.825002000000005mm,92.319366mm,Bottom,0.0
U470,52.885002mm,93.21636600000001mm,Top,180.0
R471,51.825002000000005mm,93.169366mm,Bottom,0.0
C471,51.875002mm,94.169366mm,Bottom,0.0
C470,54.000002mm,94.169366mm,Bottom,180.0
C752,68.625002mm,61.719367mm,Bottom,180.0
C753,68.600002mm,59.794366999999994mm,Bottom,0.0
C755,66.600002mm,64.919367mm,Bottom,0.0
C756,64.465002mm,64.919367mm,Bottom,0.0
C757,64.465002mm,63.969367mm,Bottom,0.0
C760,59.275002mm,58.219367mm,Bottom,270.0
C761,56.325002000000005mm,65.809367mm,Bottom,180.0
C762,59.271439mm,60.054756mm,Bottom,90.0
C764,68.420002mm,64.919367mm,Bottom,180.0
C766,68.47000200000001mm,65.849367mm,Bottom,180.0
R752,57.034255mm,60.168366999999996mm,Bottom,0.0
R753,57.034255mm,58.244367mm,Bottom,180.0
R754,68.525002mm,63.969367mm,Bottom,180.0
R757,68.475002mm,63.019366999999995mm,Bottom,0.0
R760,68.600002mm,60.744367mm,Bottom,0.0
R761,66.650002mm,63.969367mm,Bottom,180.0
R762,66.575002mm,63.019366999999995mm,Bottom,180.0
R763,68.48500200000001mm,57.709367mm,Bottom,0.0
R765,64.465002mm,65.849367mm,Bottom,180.0
R766,64.477917mm,63.019439999999996mm,Bottom,180.0
U752,61.475002mm,64.619367mm,Bottom,0.0
U753,63.690719mm,59.769366999999995mm,Bottom,270.0
U757,57.375002mm,63.540150999999994mm,Bottom,0.0
C751,60.450002000000005mm,59.119367mm,Top,270.0
C754,64.025002mm,58.139367mm,Top,90.0
C758,66.325002mm,58.139367mm,Top,270.0
C759,64.025002mm,60.130959999999995mm,Top,90.0
C763,56.325002000000005mm,61.369367mm,Top,180.0
C765,59.485002mm,63.189367mm,Top,0.0
C767,66.325002mm,60.130959999999995mm,Top,90.0
C768,61.715002mm,64.439367mm,Top,90.0
C769,68.815002mm,60.719367mm,Top,180.0
D751,56.765002mm,62.609367mm,Top,0.0
R751,56.625002mm,64.21936699999999mm,Top,180.0
R755,60.965002mm,60.519366999999995mm,Top,180.0
R756,60.920002000000004mm,57.644366999999995mm,Top,0.0
R758,61.675002mm,59.083582mm,Top,270.0
R759,60.965002mm,61.519366999999995mm,Top,0.0
R764,65.025002mm,58.139367mm,Top,90.0
R767,63.025002mm,60.130959999999995mm,Top,270.0
R768,65.025002mm,60.130959999999995mm,Top,90.0
R769,63.025002mm,58.139367mm,Top,90.0
R770,59.065002mm,61.52936699999999mm,Top,0.0
U751,57.700708mm,59.200964mm,Top,180.0
U754,65.873032mm,63.819367mm,Top,270.0
U755,59.685002000000004mm,65.10936699999999mm,Top,0.0
U756,68.22179700000001mm,58.719367mm,Top,90.0
C771,62.975002mm,51.319367mm,Top,270.0
C772,67.875002mm,50.619367mm,Top,180.0
C773,67.875002mm,51.967272mm,Top,180.0
D771,64.775002mm,53.819367mm,Top,180.0
R771,58.375002mm,47.619367mm,Top,180.0
R772,56.475002mm,51.419367mm,Top,270.0
R773,60.075002000000005mm,50.019367mm,Top,180.0
R774,60.075002000000005mm,52.519367mm,Top,180.0
R775,64.275002mm,51.319367mm,Top,270.0
R776,67.875002mm,53.769367mm,Top,180.0
R777,65.775002mm,51.319367mm,Top,270.0
U771,65.675002mm,48.119367mm,Top,0.0
C601,83.650002mm,110.319367mm,Bottom,90.0
C602,84.60000199999999mm,110.319367mm,Bottom,90.0
C603,84.60000199999999mm,112.519367mm,Bottom,270.0
C604,85.55000199999999mm,110.319367mm,Bottom,90.0
C605,71.72500199999999mm,111.977699mm,Bottom,180.0
C606,85.55000199999999mm,112.519367mm,Bottom,90.0
C607,68.05000199999999mm,108.094367mm,Bottom,180.0
C608,85.325002mm,101.844367mm,Bottom,0.0
C617,91.150002mm,104.49473900000001mm,Bottom,90.0
C618,88.725066mm,110.094367mm,Bottom,180.0
D604,89.125002mm,112.269367mm,Bottom,0.0
R602,76.825002mm,107.219367mm,Bottom,0.0
R603,77.60000199999999mm,105.219367mm,Bottom,180.0
R604,83.650002mm,112.519367mm,Bottom,270.0
R605,77.625002mm,106.219367mm,Bottom,0.0
R606,69.025002mm,106.944367mm,Bottom,0.0
R607,71.72500199999999mm,113.04436700000001mm,Bottom,0.0
R608,75.72500199999999mm,106.219367mm,Bottom,180.0
R609,82.72500199999999mm,101.869367mm,Bottom,0.0
R610,73.650002mm,109.469367mm,Bottom,0.0
R611,71.72500199999999mm,109.469367mm,Bottom,0.0
R612,71.72500199999999mm,110.736033mm,Bottom,180.0
R613,81.750002mm,103.569367mm,Bottom,270.0
R614,85.32929299999999mm,102.79436700000001mm,Bottom,180.0
R615,83.275002mm,103.269367mm,Bottom,180.0
R616,68.075002mm,103.29436700000001mm,Bottom,0.0
R618,80.35000199999999mm,105.219367mm,Bottom,0.0
R619,79.525002mm,106.219367mm,Bottom,0.0
R620,79.525002mm,107.219367mm,Bottom,180.0
R621,91.150002mm,102.359367mm,Bottom,90.0
R622,70.025002mm,103.29436700000001mm,Bottom,180.0
R623,81.400002mm,107.219367mm,Bottom,0.0
R624,85.325002mm,100.894367mm,Bottom,180.0
R629,91.140002mm,106.50571500000001mm,Bottom,270.0
R630,76.310002mm,103.77936700000001mm,Bottom,0.0
U600,79.10000199999999mm,110.769367mm,Bottom,90.0
U601,88.450002mm,101.844367mm,Bottom,180.0
U605,86.950002mm,106.569739mm,Bottom,0.0
C600,76.86250199999999mm,112.144367mm,Top,90.0
C609,85.17500199999999mm,110.719367mm,Top,90.0
C610,90.57300199999999mm,104.16936700000001mm,Top,180.0
C611,75.750002mm,106.069367mm,Top,90.0
C612,75.750002mm,104.16936700000001mm,Top,270.0
C613,89.67500199999999mm,108.694367mm,Top,180.0
C614,75.750002mm,108.194367mm,Top,270.0
C615,85.85000199999999mm,101.394367mm,Top,270.0
C616,87.525002mm,106.23186700000001mm,Top,90.0
D600,67.150002mm,111.29436700000001mm,Top,270.0
D601,79.92500199999999mm,112.619367mm,Top,0.0
D602,82.900002mm,112.619367mm,Top,180.0
D603,87.432452mm,101.789367mm,Top,90.0
Q600,71.590002mm,108.069367mm,Top,270.0
Q601,71.500002mm,101.394367mm,Top,0.0
R600,75.80000199999999mm,110.244367mm,Top,90.0
R601,75.80000199999999mm,112.144367mm,Top,90.0
R617,77.05000199999999mm,101.394367mm,Top,270.0
R625,87.700002mm,108.719367mm,Top,180.0
R626,77.92500199999999mm,112.144367mm,Top,90.0
R627,85.05000199999999mm,112.594367mm,Top,90.0
R628,87.92500199999999mm,104.16936700000001mm,Top,0.0
U602,81.400002mm,105.91936700000001mm,Top,270.0
U603,90.025002mm,101.91936700000001mm,Top,90.0
U604,89.97500199999999mm,106.394367mm,Top,180.0
R148,118.350002mm,82.294377mm,Bottom,90.0
R142,119.250002mm,80.89437699999999mm,Bottom,90.0
U108,86.159002mm,64.71417699999999mm,Top,270.0
VD103,90.745002mm,61.89437699999999mm,Bottom,180.0
U101,115.596402mm,89.94437699999999mm,Top,180.0
C119,110.86940200000001mm,82.294277mm,Bottom,270.0
R147,118.666302mm,73.282777mm,Bottom,270.0
R146,117.250002mm,92.960477mm,Bottom,180.0
R141,119.250002mm,79.89437699999999mm,Bottom,90.0
U102,113.878502mm,84.83787699999999mm,Bottom,90.0
R109,113.282802mm,84.778077mm,Top,90.0
R108,112.894002mm,87.69437699999999mm,Bottom,90.0
Q103,115.346802mm,84.051577mm,Top,90.0
Q102,117.950002mm,79.499377mm,Top,90.0
Q101,118.185002mm,85.22187699999999mm,Bottom,270.0
Q100,115.545002mm,88.594377mm,Bottom,180.0
L100,99.500002mm,78.694977mm,Bottom,90.0
F100,118.178402mm,76.839377mm,Bottom,90.0
C120,99.349502mm,80.59427699999999mm,Top,270.0
C107,115.950002mm,85.71587699999999mm,Bottom,270.0
C106,111.606902mm,85.690877mm,Bottom,270.0
U110,109.554902mm,86.14127699999999mm,Bottom,180.0
R145,106.594702mm,86.102177mm,Bottom,270.0
R144,107.540202mm,86.102177mm,Bottom,270.0
R143,95.381202mm,92.697577mm,Bottom,180.0
R107,117.528402mm,83.980477mm,Top,270.0
D108,118.900002mm,84.34127699999999mm,Top,90.0
U107,95.353902mm,62.987877mm,Bottom,270.0
U106,108.781802mm,62.301976999999994mm,Top,270.0
C134,93.617602mm,62.987877mm,Bottom,270.0
C126,110.72510199999999mm,61.999176999999996mm,Top,90.0
VD102,90.745002mm,65.248177mm,Bottom,180.0
VD101,86.355002mm,61.89437699999999mm,Bottom,0.0
VD100,86.355002mm,65.248177mm,Bottom,0.0
U109,88.634002mm,64.71417699999999mm,Top,270.0
U103,101.975002mm,87.594377mm,Bottom,180.0
U100,108.650502mm,89.994277mm,Top,0.0
U195,94.500002mm,82.794377mm,Top,0.0
U190,94.500002mm,68.594377mm,Top,0.0
U185,94.500002mm,89.89437699999999mm,Top,0.0
U180,94.500002mm,75.694377mm,Top,0.0
S101,117.764302mm,73.894677mm,Top,270.0
S100,104.650002mm,62.747876999999995mm,Top,0.0
R140,88.450002mm,68.794277mm,Bottom,270.0
R111,99.800002mm,92.594377mm,Bottom,90.0
R112,100.850002mm,92.594377mm,Bottom,90.0
R117,106.100002mm,92.594377mm,Bottom,90.0
R115,104.000002mm,92.594377mm,Bottom,90.0
R116,105.050002mm,92.594377mm,Bottom,90.0
R114,102.950002mm,92.594377mm,Bottom,90.0
R113,101.900002mm,92.594377mm,Bottom,90.0
R110,98.750002mm,92.594377mm,Bottom,90.0
R120,111.937002mm,62.276076999999994mm,Top,270.0
R100,108.650002mm,92.89427699999999mm,Bottom,0.0
R258,87.944902mm,72.13667699999999mm,Bottom,180.0
R255,86.050002mm,92.94437699999999mm,Bottom,180.0
R256,90.650002mm,71.194377mm,Bottom,0.0
R254,88.500002mm,93.044377mm,Top,180.0
R245,87.000002mm,75.494277mm,Bottom,270.0
R227,87.000002mm,80.294377mm,Bottom,270.0
R200,87.000002mm,89.89427699999999mm,Bottom,270.0
R197,95.850002mm,82.794277mm,Bottom,90.0
R196,93.050002mm,82.794377mm,Bottom,270.0
R195,92.550002mm,79.944277mm,Bottom,180.0
R191,95.850002mm,68.694377mm,Bottom,90.0
R190,93.050002mm,68.694377mm,Bottom,270.0
R186,95.850002mm,89.89437699999999mm,Bottom,90.0
R185,93.050002mm,89.89437699999999mm,Bottom,270.0
R181,95.850002mm,75.694377mm,Bottom,90.0
R180,93.050002mm,75.694377mm,Bottom,270.0
R139,85.950002mm,67.594377mm,Top,180.0
R138,85.950002mm,68.794377mm,Top,180.0
R137,85.950002mm,69.99437699999999mm,Top,180.0
R136,85.950002mm,71.194377mm,Top,180.0
R135,86.950002mm,67.594377mm,Top,0.0
R132,86.950002mm,68.794377mm,Top,0.0
R126,86.950002mm,69.99437699999999mm,Top,0.0
R124,86.950002mm,71.194377mm,Top,0.0
R119,99.850002mm,91.994377mm,Top,0.0
R118,103.950002mm,91.994377mm,Top,0.0
R253,85.950002mm,73.594377mm,Top,0.0
R252,85.950002mm,74.794377mm,Top,0.0
R251,85.950002mm,75.99437699999999mm,Top,0.0
R250,85.950002mm,77.194377mm,Top,0.0
R249,86.950002mm,73.594377mm,Top,180.0
R248,86.950002mm,74.794377mm,Top,180.0
R247,86.950002mm,75.99437699999999mm,Top,180.0
R246,86.950002mm,77.194377mm,Top,180.0
R235,85.950002mm,78.39437699999999mm,Top,0.0
R234,85.950002mm,79.594377mm,Top,0.0
R233,85.950002mm,80.794377mm,Top,0.0
R232,85.950002mm,81.994377mm,Top,0.0
R231,86.950002mm,78.39437699999999mm,Top,180.0
R230,86.950002mm,79.594377mm,Top,180.0
R229,86.950002mm,80.794377mm,Top,180.0
R228,86.950002mm,81.994377mm,Top,180.0
R226,85.950002mm,83.19437699999999mm,Top,180.0
R225,85.950002mm,84.39437699999999mm,Top,180.0
R224,85.950002mm,85.594377mm,Top,180.0
R223,85.950002mm,86.794377mm,Top,180.0
R222,86.950002mm,83.19437699999999mm,Top,0.0
R221,86.950002mm,84.39437699999999mm,Top,0.0
R220,86.950002mm,85.594377mm,Top,0.0
R219,86.950002mm,86.794377mm,Top,0.0
R218,87.000002mm,85.094377mm,Bottom,270.0
R208,85.950002mm,87.994377mm,Top,180.0
R207,85.950002mm,89.19437699999999mm,Top,180.0
R206,85.950002mm,90.39437699999999mm,Top,180.0
R205,85.950002mm,91.594377mm,Top,180.0
R204,86.950002mm,87.994377mm,Top,0.0
R203,86.950002mm,89.19437699999999mm,Top,0.0
R202,86.950002mm,90.39437699999999mm,Top,0.0
R201,86.950002mm,91.594377mm,Top,0.0
P106,97.900002mm,70.694377mm,Top,180.0
P105,97.900002mm,78.314377mm,Top,180.0
P104,97.900002mm,74.30437699999999mm,Top,180.0
P201,86.450002mm,72.344377mm,Top,0.0
P200,84.950002mm,92.89437699999999mm,Top,0.0
J100,107.750002mm,67.14437699999999mm,Bottom,0.0
D100,107.942302mm,89.494377mm,Bottom,90.0
D205,93.206402mm,62.897876999999994mm,Top,0.0
D206,89.750002mm,75.39437699999999mm,Top,90.0
D203,89.750002mm,80.19437699999999mm,Top,90.0
D200,89.750002mm,89.794377mm,Top,90.0
D116,98.549502mm,88.458277mm,Top,90.0
D115,98.549502mm,84.219977mm,Top,90.0
D114,100.482902mm,88.458277mm,Top,90.0
D113,100.482902mm,84.219977mm,Top,90.0
D112,102.416202mm,88.458277mm,Top,90.0
D111,102.416202mm,84.219977mm,Top,90.0
D110,104.349502mm,88.458277mm,Top,90.0
D109,104.488902mm,84.34127699999999mm,Top,90.0
D202,89.750002mm,84.994377mm,Top,90.0
C143,88.850002mm,71.194377mm,Top,180.0
C144,88.850002mm,69.99437699999999mm,Top,0.0
C145,88.850002mm,68.794377mm,Top,180.0
C146,88.850002mm,67.594377mm,Top,180.0
C112,98.235302mm,82.28217699999999mm,Bottom,270.0
C111,97.750002mm,92.594377mm,Bottom,90.0
C123,116.375002mm,66.99437699999999mm,Bottom,270.0
C105,110.150002mm,88.794377mm,Bottom,270.0
C100,110.150002mm,91.36687699999999mm,Bottom,90.0
C229,87.944902mm,71.194377mm,Bottom,0.0
C224,86.550002mm,93.044377mm,Top,0.0
C223,90.800002mm,93.044377mm,Top,0.0
C222,87.850002mm,92.994377mm,Bottom,180.0
C221,90.62280200000001mm,72.771677mm,Top,180.0
C220,90.650002mm,72.879077mm,Bottom,180.0
C225,89.700002mm,77.39427699999999mm,Bottom,180.0
C226,89.700002mm,76.294377mm,Bottom,180.0
C227,89.700002mm,74.14427699999999mm,Bottom,180.0
C228,86.944902mm,73.079077mm,Bottom,0.0
C212,89.700002mm,82.194277mm,Bottom,180.0
C213,89.700002mm,81.094377mm,Bottom,180.0
C214,89.700002mm,78.944277mm,Bottom,180.0
C215,86.944902mm,77.89997699999999mm,Bottom,0.0
C200,89.700002mm,91.794277mm,Bottom,180.0
C201,89.700002mm,90.69437699999999mm,Bottom,180.0
C202,89.700002mm,88.544277mm,Bottom,180.0
C203,86.944902mm,87.50387699999999mm,Bottom,0.0
C195,95.150002mm,79.944277mm,Bottom,180.0
C190,95.000002mm,65.844377mm,Bottom,180.0
C185,95.150002mm,87.044377mm,Bottom,180.0
C180,95.150002mm,72.844377mm,Bottom,180.0
C142,85.950002mm,67.594377mm,Bottom,180.0
C141,85.950002mm,68.794377mm,Bottom,180.0
C139,85.950002mm,69.994277mm,Bottom,0.0
C135,85.950002mm,71.194377mm,Bottom,180.0
C211,86.944902mm,82.68627699999999mm,Bottom,0.0
C210,89.700002mm,83.744277mm,Bottom,180.0
C209,89.700002mm,85.89437699999999mm,Bottom,180.0
C208,89.700002mm,86.994277mm,Bottom,180.0
C147,103.358702mm,76.24437699999999mm,Bottom,90.0
F101,116.547202mm,91.294377mm,Bottom,0.0
R134,116.050002mm,82.044377mm,Bottom,270.0
R133,117.225002mm,82.044377mm,Bottom,270.0
C133,113.94000199999999mm,81.89437699999999mm,Bottom,0.0
R131,99.293802mm,75.098377mm,Bottom,90.0
R130,104.475002mm,81.794277mm,Bottom,0.0
R129,100.600002mm,81.794277mm,Bottom,0.0
Y101,112.367402mm,79.50697699999999mm,Bottom,270.0
C116,110.878602mm,78.565777mm,Bottom,90.0
C115,110.892302mm,80.429977mm,Bottom,270.0
C124,102.218902mm,76.24437699999999mm,Bottom,270.0
R121,118.727002mm,66.56897699999999mm,Bottom,90.0
R106,116.875002mm,72.74437699999999mm,Bottom,270.0
J101,117.600002mm,67.39437699999999mm,Top,90.0
C108,113.950002mm,80.294377mm,Bottom,270.0
R105,101.331102mm,62.345276999999996mm,Top,270.0
R104,100.141102mm,62.545277mm,Top,270.0
R103,99.031102mm,62.345276999999996mm,Top,270.0
R125,87.470002mm,61.794377mm,Top,180.0
C104,118.550002mm,87.94437699999999mm,Bottom,0.0
C137,98.258502mm,80.599177mm,Top,270.0
D101,112.794502mm,91.16487699999999mm,Bottom,90.0
C101,118.727002mm,64.202777mm,Bottom,90.0
R102,111.224502mm,92.36687699999999mm,Bottom,90.0
R101,108.350002mm,81.794277mm,Bottom,180.0
D102,117.350002mm,62.49437699999999mm,Top,0.0
Y102,107.336502mm,76.85057699999999mm,Bottom,0.0
R122,97.150002mm,62.49437699999999mm,Bottom,270.0
R123,95.125902mm,64.784577mm,Bottom,180.0
R127,113.050002mm,76.694377mm,Bottom,90.0
R128,99.293802mm,73.016577mm,Bottom,90.0
D106,111.914902mm,84.34127699999999mm,Top,90.0
D105,110.114902mm,84.34127699999999mm,Top,90.0
D107,115.639502mm,78.189377mm,Bottom,90.0
D104,108.314902mm,84.34127699999999mm,Top,90.0
D103,106.514902mm,84.34127699999999mm,Top,90.0
C140,111.950002mm,76.694377mm,Bottom,270.0
C132,108.325102mm,79.126877mm,Bottom,0.0
C136,106.249902mm,79.126877mm,Bottom,180.0
C127,99.293802mm,68.49437699999999mm,Bottom,270.0
C138,115.322202mm,92.960477mm,Bottom,0.0
C130,101.203502mm,78.476877mm,Bottom,270.0
C131,98.150002mm,68.49437699999999mm,Bottom,270.0
C122,103.358702mm,78.476877mm,Bottom,90.0
C114,113.150002mm,62.626076999999995mm,Top,270.0
C103,118.550002mm,88.994377mm,Bottom,0.0
C113,114.350002mm,62.626076999999995mm,Top,90.0
C102,111.224502mm,88.794377mm,Bottom,90.0
U105,107.200002mm,73.084977mm,Top,180.0
R430,79.625004mm,49.769366999999995mm,Top,180.0
C431,87.275004mm,46.319367mm,Top,0.0
C430,83.575004mm,46.319367mm,Top,180.0
U430,84.895004mm,49.569367mm,Top,90.0
D430,79.625004mm,47.349367mm,Top,90.0
